order_id,customer_id,order_date,status,region_code
ORD_1,cust_360,2025-01-19 11:00:00,RETURNED,NORTH
ORD_2,cust_341,2025-02-17 19:00:00,SHIPPED,WEST
ORD_3,UNKNOWN,2025-01-23 16:00:00,CANCELLED,EAST
ORD_4,cust_490,2025-09-22 01:00:00,DELIVERED,SOUTH
ORD_5,UNKNOWN,2025-04-10 03:00:00,PLACED,SOUTH
ORD_6,UNKNOWN,2025-09-22 08:00:00,DELIVERED,NORTH
ORD_7,UNKNOWN,2025-09-16 13:00:00,PLACED,NORTH
ORD_8,cust_159,2025-10-26 09:00:00,PLACED,NORTH
ORD_9,cust_379,2025-09-08 01:00:00,SHIPPED,EAST
ORD_10,cust_203,2025-10-12 00:00:00,SHIPPED,NORTH
ORD_11,cust_405,2025-11-15 20:00:00,PLACED,SOUTH
ORD_12,cust_441,2025-03-04 04:00:00,DELIVERED,WEST
ORD_13,cust_267,2025-02-14 04:00:00,CANCELLED,EAST
ORD_14,cust_299,2025-01-17 17:00:00,PLACED,SOUTH
ORD_15,cust_407,2025-02-14 01:00:00,DELIVERED,NORTH
ORD_16,cust_415,2025-05-22 17:00:00,PLACED,SOUTH
ORD_17,cust_512,2025-05-21 14:00:00,DELIVERED,NORTH
ORD_18,cust_214,2025-08-06 02:00:00,CANCELLED,SOUTH
ORD_19,cust_232,2025-11-11 02:00:00,RETURNED,WEST
ORD_20,cust_40,2025-01-21 07:00:00,SHIPPED,NORTH
ORD_21,cust_85,2025-01-18 18:00:00,DELIVERED,NORTH
ORD_22,cust_383,2025-12-14 12:00:00,SHIPPED,NORTH
ORD_23,cust_212,2025-01-05 11:00:00,PLACED,SOUTH
ORD_24,cust_395,2025-03-07 12:00:00,DELIVERED,NORTH
ORD_25,cust_519,2025-10-02 22:00:00,CANCELLED,NORTH
ORD_26,cust_356,2025-05-26 12:00:00,RETURNED,EAST
ORD_27,cust_77,2025-11-15 10:00:00,CANCELLED,EAST
ORD_28,cust_368,2025-12-11 15:00:00,CANCELLED,NORTH
ORD_29,UNKNOWN,2025-07-29 20:00:00,SHIPPED,EAST
ORD_30,cust_450,2025-04-09 11:00:00,RETURNED,NORTH
ORD_31,cust_440,2025-02-11 13:00:00,PLACED,SOUTH
ORD_32,cust_89,2025-09-01 21:00:00,CANCELLED,NORTH
ORD_33,cust_423,2025-06-01 18:00:00,PLACED,WEST
ORD_34,cust_337,2025-05-11 03:00:00,CANCELLED,WEST
ORD_35,cust_428,2025-04-26 16:00:00,CANCELLED,EAST
ORD_36,cust_421,2025-06-26 08:00:00,PLACED,EAST
ORD_37,cust_328,2025-12-07 17:00:00,SHIPPED,WEST
ORD_38,cust_217,2025-12-24 23:00:00,DELIVERED,EAST
ORD_39,cust_149,2025-08-30 17:00:00,RETURNED,SOUTH
ORD_40,cust_490,2025-11-19 03:00:00,DELIVERED,EAST
ORD_41,cust_463,2025-03-26 13:00:00,SHIPPED,WEST
ORD_42,UNKNOWN,2025-10-05 17:00:00,CANCELLED,SOUTH
ORD_43,cust_22,2025-04-14 13:00:00,RETURNED,EAST
ORD_44,cust_85,2025-09-14 23:00:00,CANCELLED,EAST
ORD_45,cust_386,2025-10-11 01:00:00,RETURNED,WEST
ORD_46,cust_207,2025-07-04 06:00:00,CANCELLED,SOUTH
ORD_47,cust_393,2025-08-22 16:00:00,DELIVERED,WEST
ORD_48,cust_271,2025-01-25 12:00:00,RETURNED,WEST
ORD_49,cust_291,2025-11-30 11:00:00,DELIVERED,NORTH
ORD_50,cust_330,2025-08-30 03:00:00,PLACED,NORTH
ORD_51,cust_328,2025-08-21 23:00:00,RETURNED,SOUTH
ORD_52,cust_74,2025-07-14 14:00:00,PLACED,EAST
ORD_53,cust_472,2025-05-05 06:00:00,SHIPPED,WEST
ORD_54,cust_88,2025-02-07 11:00:00,PLACED,EAST
ORD_55,cust_120,2025-12-05 11:00:00,DELIVERED,EAST
ORD_56,cust_100,2025-04-12 10:00:00,PLACED,SOUTH
ORD_57,cust_300,2025-03-09 09:00:00,PLACED,WEST
ORD_58,cust_223,2025-02-17 04:00:00,RETURNED,EAST
ORD_59,cust_448,2025-12-07 01:00:00,CANCELLED,NORTH
ORD_60,cust_231,2025-06-18 00:00:00,DELIVERED,EAST
ORD_61,UNKNOWN,2025-12-28 01:00:00,DELIVERED,WEST
ORD_62,cust_464,2025-07-23 06:00:00,DELIVERED,WEST
ORD_63,cust_307,2025-12-06 09:00:00,RETURNED,SOUTH
ORD_64,cust_261,2025-04-06 12:00:00,DELIVERED,SOUTH
ORD_65,UNKNOWN,2025-07-14 13:00:00,SHIPPED,SOUTH
ORD_66,UNKNOWN,2025-11-13 01:00:00,CANCELLED,EAST
ORD_67,cust_383,2025-05-25 05:00:00,RETURNED,SOUTH
ORD_68,cust_281,2025-10-07 22:00:00,DELIVERED,NORTH
ORD_69,cust_413,2025-04-20 23:00:00,SHIPPED,NORTH
ORD_70,cust_314,2025-01-27 00:00:00,SHIPPED,WEST
ORD_71,cust_378,2025-12-03 03:00:00,RETURNED,SOUTH
ORD_72,cust_14,2025-12-16 15:00:00,CANCELLED,EAST
ORD_73,cust_511,2025-01-09 06:00:00,RETURNED,NORTH
ORD_74,cust_290,2025-01-06 01:00:00,PLACED,NORTH
ORD_75,cust_322,2025-04-13 15:00:00,PLACED,SOUTH
ORD_76,cust_145,2025-09-01 18:00:00,CANCELLED,WEST
ORD_77,cust_467,2025-05-12 13:00:00,DELIVERED,NORTH
ORD_78,cust_45,2025-01-01 08:00:00,SHIPPED,WEST
ORD_79,cust_457,2025-01-09 19:00:00,RETURNED,EAST
ORD_80,cust_24,2025-12-16 01:00:00,PLACED,WEST
ORD_81,cust_388,2025-02-24 12:00:00,SHIPPED,SOUTH
ORD_82,cust_406,2025-06-04 18:00:00,CANCELLED,NORTH
ORD_83,cust_127,2025-10-22 11:00:00,CANCELLED,SOUTH
ORD_84,cust_355,2025-12-16 11:00:00,PLACED,WEST
ORD_85,cust_186,2025-04-24 13:00:00,CANCELLED,SOUTH
ORD_86,cust_67,2025-07-11 16:00:00,CANCELLED,WEST
ORD_87,cust_338,2025-10-04 12:00:00,RETURNED,SOUTH
ORD_88,cust_118,2025-09-27 08:00:00,PLACED,NORTH
ORD_89,cust_390,2025-07-28 09:00:00,PLACED,EAST
ORD_90,cust_274,2025-12-16 23:00:00,DELIVERED,NORTH
ORD_91,cust_46,2025-09-01 16:00:00,PLACED,WEST
ORD_92,cust_316,2025-06-16 07:00:00,SHIPPED,NORTH
ORD_93,cust_170,2025-01-25 00:00:00,PLACED,SOUTH
ORD_94,cust_48,2025-02-27 08:00:00,CANCELLED,SOUTH
ORD_95,UNKNOWN,2025-12-15 04:00:00,SHIPPED,SOUTH
ORD_96,cust_42,2025-05-11 04:00:00,RETURNED,WEST
ORD_97,cust_500,2025-06-24 04:00:00,SHIPPED,WEST
ORD_98,cust_115,2025-05-22 17:00:00,RETURNED,SOUTH
ORD_99,cust_330,2025-01-15 10:00:00,CANCELLED,NORTH
ORD_100,cust_249,2025-09-13 15:00:00,CANCELLED,SOUTH
ORD_101,UNKNOWN,2025-11-22 00:00:00,SHIPPED,NORTH
ORD_102,cust_179,2025-08-29 12:00:00,CANCELLED,NORTH
ORD_103,cust_64,2025-02-03 12:00:00,SHIPPED,WEST
ORD_104,cust_189,2025-12-12 06:00:00,CANCELLED,WEST
ORD_105,cust_208,2025-04-19 18:00:00,RETURNED,NORTH
ORD_106,cust_247,2025-04-01 10:00:00,RETURNED,NORTH
ORD_107,cust_403,2025-07-14 12:00:00,CANCELLED,WEST
ORD_108,cust_229,2025-10-13 21:00:00,RETURNED,SOUTH
ORD_109,cust_1,2025-02-26 00:00:00,DELIVERED,NORTH
ORD_110,cust_226,2025-10-02 08:00:00,CANCELLED,WEST
ORD_111,cust_200,2025-10-30 11:00:00,RETURNED,NORTH
ORD_112,cust_381,2025-09-06 05:00:00,DELIVERED,WEST
ORD_113,cust_509,2025-01-07 09:00:00,CANCELLED,SOUTH
ORD_114,cust_378,2025-07-25 04:00:00,CANCELLED,NORTH
ORD_115,cust_3,2025-07-18 13:00:00,DELIVERED,SOUTH
ORD_116,cust_204,2025-10-01 13:00:00,SHIPPED,WEST
ORD_117,cust_321,2025-08-20 21:00:00,RETURNED,SOUTH
ORD_118,cust_406,2025-03-06 10:00:00,DELIVERED,EAST
ORD_119,cust_520,2025-12-24 14:00:00,RETURNED,WEST
ORD_120,cust_466,2025-07-04 11:00:00,RETURNED,WEST
ORD_121,cust_462,2025-08-25 22:00:00,RETURNED,WEST
ORD_122,cust_281,2025-08-06 05:00:00,SHIPPED,EAST
ORD_123,cust_437,2025-09-14 00:00:00,SHIPPED,EAST
ORD_124,cust_376,2025-04-04 01:00:00,CANCELLED,SOUTH
ORD_125,cust_222,2025-03-06 03:00:00,PLACED,SOUTH
ORD_126,cust_498,2025-12-27 14:00:00,PLACED,WEST
ORD_127,cust_335,2025-05-10 03:00:00,PLACED,SOUTH
ORD_128,cust_274,2025-01-13 14:00:00,SHIPPED,WEST
ORD_129,cust_241,2025-05-30 03:00:00,PLACED,WEST
ORD_130,cust_282,2025-01-11 07:00:00,CANCELLED,WEST
ORD_131,cust_131,2025-02-12 18:00:00,RETURNED,EAST
ORD_132,cust_357,2025-11-23 21:00:00,PLACED,EAST
ORD_133,cust_351,2025-12-22 22:00:00,CANCELLED,WEST
ORD_134,cust_105,2026-01-01 17:00:00,CANCELLED,SOUTH
ORD_135,cust_147,2025-05-05 05:00:00,PLACED,WEST
ORD_136,cust_258,2025-08-04 00:00:00,CANCELLED,SOUTH
ORD_137,cust_477,2025-12-28 10:00:00,CANCELLED,WEST
ORD_138,cust_232,2025-12-05 11:00:00,PLACED,NORTH
ORD_139,cust_87,2025-09-19 16:00:00,PLACED,NORTH
ORD_140,cust_389,2025-04-09 06:00:00,SHIPPED,NORTH
ORD_141,cust_143,2025-03-20 22:00:00,CANCELLED,NORTH
ORD_142,cust_227,2025-06-20 07:00:00,RETURNED,WEST
ORD_143,cust_273,2025-02-13 16:00:00,RETURNED,EAST
ORD_144,cust_176,2025-04-14 22:00:00,PLACED,SOUTH
ORD_145,cust_113,2025-05-07 11:00:00,DELIVERED,WEST
ORD_146,cust_268,2025-08-16 14:00:00,DELIVERED,NORTH
ORD_147,cust_323,2025-11-18 05:00:00,PLACED,SOUTH
ORD_148,cust_488,2025-05-13 03:00:00,DELIVERED,EAST
ORD_149,cust_104,2025-04-08 09:00:00,DELIVERED,EAST
ORD_150,cust_89,2025-03-23 06:00:00,RETURNED,WEST
